,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
47,3,0,1,0,0,1984821865,9781984821867,Delacorte,Charles Vincent meets someone who ignites his passion and must decide whether to walk away from his perfect-from-the-outside life.,0.00,WITHOUT A TRACE,Danielle Steel,by Danielle Steel,,https://storage.googleapis.com/du-prd/books/images/9781984821867.jpg,334,500,https://www.amazon.com/dp/1984821865?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
48,4,7,12,0,0,0385548923,9780385548922,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",0.00,THE BOYS FROM BILOXI,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg,329,500,https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
49,5,6,12,0,0,0063251922,9780063251922,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,0.00,DEMON COPPERHEAD,Barbara Kingsolver,by Barbara Kingsolver,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg,329,500,https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
50,6,3,18,0,0,1668002175,9781668002179,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,0.00,FAIRY TALE,Stephen King,by Stephen King,,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,329,500,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
51,7,5,15,0,0,0593321200,9780593321201,Knopf,Two friends find their partnership challenged in the world of video game design.,0.00,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,by Gabrielle Zevin,,https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg,329,500,https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
52,8,4,14,0,0,1984818384,9781984818386,Ballantine,"After returning to her hometown, Olivia McAfee’s son gets accused of killing his crush.",0.00,MAD HONEY,Jodi Picoult and Jennifer Finney Boylan,by Jodi Picoult and Jennifer Finney Boylan,,https://storage.googleapis.com/du-prd/books/images/9781984818386.jpg,328,500,https://www.amazon.com/dp/1984818384?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
53,9,11,98,0,0,0525559477,9780525559474,Viking,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,0.00,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,https://storage.googleapis.com/du-prd/books/images/9780525559474.jpg,331,500,https://www.amazon.com/dp/0525559477?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
54,10,2,6,0,0,0063021420,9780063021426,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China.",0.00,BABEL,R.F. Kuang,by R.F. Kuang,,https://storage.googleapis.com/du-prd/books/images/9780063021426.jpg,329,500,https://www.amazon.com/dp/0063021420?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
55,11,0,1,0,0,0593328795,9780593328798,Riverhead,"A servant, an heir and a journalist are caught up in a complicated series of events involving romance and corruption in India.",0.00,AGE OF VICE,Deepti Kapoor,by Deepti Kapoor,,https://storage.googleapis.com/du-prd/books/images/9780593328798.jpg,329,500,https://www.amazon.com/dp/0593328795?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
56,12,10,6,0,0,1250145295,9781250145291,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns.",0.00,A WORLD OF CURIOSITIES,Louise Penny,by Louise Penny,,https://storage.googleapis.com/du-prd/books/images/9781250145291.jpg,329,500,https://www.amazon.com/dp/1250145295?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
57,13,0,1,0,0,125028001X,9781250280015,St. Martin's,"Two women visit an Italian villa where events in the 1970s sparked a horror novel, a platinum album and a murder.",0.00,THE VILLA,Rachel Hawkins,by Rachel Hawkins,,https://storage.googleapis.com/du-prd/books/images/9781250280015.jpg,328,500,https://www.amazon.com/dp/125028001X?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
58,14,0,2,0,0,0063204150,9780063204157,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,0.00,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,by Shelby Van Pelt,,https://storage.googleapis.com/du-prd/books/images/9780063204157.jpg,329,500,https://www.amazon.com/dp/0063204150?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
59,15,9,16,0,0,059344955X,9780593449554,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.,0.00,DREAMLAND,Nicholas Sparks,by Nicholas Sparks,,https://storage.googleapis.com/du-prd/books/images/9780593449554.jpg,331,500,https://www.amazon.com/dp/059344955X?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 22]",January
60,1,0,1,0,0,1250313104,9781250313102,Flatiron,The second book in the Alex Stern series. Alex risks her future at Lethe and Yale to get Darlington out of purgatory.,0.00,HELL BENT,Leigh Bardugo,by Leigh Bardugo,,https://storage.googleapis.com/du-prd/books/images/9781250313102.jpg,329,500,https://www.amazon.com/dp/1250313104?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
61,2,0,1,0,0,0316404292,9780316404297,"Little, Brown","After her father is murdered, Jenny Wolf becomes the head of a powerful family in California.",0.00,THE HOUSE OF WOLVES,James Patterson and Mike Lupica,by James Patterson and Mike Lupica,,https://storage.googleapis.com/du-prd/books/images/9780316404297.jpg,323,500,https://www.amazon.com/dp/0316404292?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
62,3,1,36,0,0,038554734X,9780385547345,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,0.00,LESSONS IN CHEMISTRY,Bonnie Garmus,by Bonnie Garmus,,https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg,328,500,https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
63,4,7,16,0,0,0593321200,9780593321201,Knopf,Two friends find their partnership challenged in the world of video game design.,0.00,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,by Gabrielle Zevin,,https://storage.googleapis.com/du-prd/books/images/9780593321201.jpg,329,500,https://www.amazon.com/dp/0593321200?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
64,5,2,2,0,0,0593186710,9780593186718,Dutton,"Seven years after witnessing her best friend drop dead, Maya returns to her Berkshires hometown to piece together what happened.",0.00,THE HOUSE IN THE PINES,Ana Reyes,by Ana Reyes,,https://storage.googleapis.com/du-prd/books/images/9780593186718.jpg,331,500,https://www.amazon.com/dp/0593186710?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
65,6,5,13,0,0,0063251922,9780063251922,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,0.00,DEMON COPPERHEAD,Barbara Kingsolver,by Barbara Kingsolver,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg,329,500,https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
66,7,4,13,0,0,0385548923,9780385548922,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",0.00,THE BOYS FROM BILOXI,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg,329,500,https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20,,,,,,hardcover-fiction,"[2023, 1, 29]",January
